what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316670710093
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316670718812
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316670718890
closed,editor,com.adobe.flexbuilder.as.editor,4.5.1.313231,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1316670718937
closed,editor,com.adobe.flexbuilder.as.editor,4.5.1.313231,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1316670719031
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316670732625
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316670732687
closed,editor,com.adobe.flexbuilder.as.editor,4.5.1.313231,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1316670732703
closed,editor,com.adobe.flexbuilder.as.editor,4.5.1.313231,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1316670732828
closed,editor,com.adobe.flexbuilder.as.editor,4.5.1.313231,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1316670732937
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1316670735390
activated,view,com.adobe.flexbuilder.as.editor,4.5.1.313231,"com.adobe.flexbuilder.packageexplorer",1316670738625
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316670740656
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316670741703
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316670742296
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316670742328
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1316670746125
activated,view,com.adobe.flexbuilder.as.editor,4.5.1.313231,"com.adobe.flexbuilder.packageexplorer",1316670755968
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316670768187
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316670768625
opened,editor,com.adobe.flexbuilder.as.editor,4.5.1.313231,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1316670768656
activated,editor,com.adobe.flexbuilder.as.editor,4.5.1.313231,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1316670768750
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316670774062
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1316670784203
activated,editor,com.adobe.flexbuilder.as.editor,4.5.1.313231,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1316670785640
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1316670800031
activated,view,com.adobe.flexbuilder.as.editor,4.5.1.313231,"com.adobe.flexbuilder.packageexplorer",1316670801375
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316670803906
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316670808515
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1316670810265
activated,view,com.adobe.flexbuilder.as.editor,4.5.1.313231,"com.adobe.flexbuilder.packageexplorer",1316670814171
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316670817734
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316670817781
closed,editor,com.adobe.flexbuilder.css.editor,4.5.1.313231,"com.adobe.flexbuilder.editors.css.editors.CSSEditor",1316670819078
closed,editor,com.adobe.flexbuilder.mxml.editor,4.5.1.313231,"com.adobe.flexbuilder.editors.mxml.MXMLEditor",1316670819109
activated,editor,com.adobe.flexbuilder.as.editor,4.5.1.313231,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1316670832187
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316670836671
activated,view,com.adobe.flexbuilder.as.editor,4.5.1.313231,"com.adobe.flexbuilder.packageexplorer",1316670841562
opened,editor,com.adobe.flexbuilder.as.editor,4.5.1.313231,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1316670842640
activated,editor,com.adobe.flexbuilder.as.editor,4.5.1.313231,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1316670842718
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316670847468
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316670849781
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316670855093
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1316670855140
opened,editor,com.adobe.flexbuilder.mxml.editor,4.5.1.313231,"com.adobe.flexbuilder.editors.mxml.MXMLEditor",1316670855531
activated,editor,com.adobe.flexbuilder.mxml.editor,4.5.1.313231,"com.adobe.flexbuilder.editors.mxml.MXMLEditor",1316670855625
activated,view,com.adobe.flexbuilder.as.editor,4.5.1.313231,"com.adobe.flexbuilder.packageexplorer",1316670855734
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1316670855750
