what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.css.ui,1.0.600.v201103022054,"org.eclipse.wst.css.ui",1316587693328
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.400.v201104190230,"org.eclipse.wst.jsdt.web.core",1316587693906
started,bundle,org.eclipse.gef,3.7.0.v20110407-2050,"org.eclipse.gef",1316587694312
opened,editor,org.jboss.tools.jst.jsp,3.3.0.v20110624-0507-H3-M2,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1316587694312
activated,editor,org.jboss.tools.jst.jsp,3.3.0.v20110624-0507-H3-M2,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1316587694906
closed,view,com.adobe.flexbuilder.as.editor,4.5.1.313231,"com.adobe.flexbuilder.as.editor.asdocviewer",1316587694984
activated,view,com.adobe.flexbuilder.as.editor,4.5.1.313231,"com.adobe.flexbuilder.packageexplorer",1316587697437
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316587705437
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316587743640
activated,editor,org.jboss.tools.jst.jsp,3.3.0.v20110624-0507-H3-M2,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1316587745156
activated,view,com.adobe.flexbuilder.as.editor,4.5.1.313231,"com.adobe.flexbuilder.packageexplorer",1316587747281
activated,editor,com.adobe.flexbuilder.mxml.editor,4.5.1.313231,"com.adobe.flexbuilder.editors.mxml.MXMLEditor",1316587748546
opened,view,com.adobe.flexbuilder.as.editor,4.5.1.313231,"com.adobe.flexbuilder.as.editor.asdocviewer",1316587748796
activated,view,com.adobe.flexbuilder.as.editor,4.5.1.313231,"com.adobe.flexbuilder.packageexplorer",1316587748828
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1316587748843
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1316587748843
activated,editor,com.adobe.flexbuilder.mxml.editor,4.5.1.313231,"com.adobe.flexbuilder.editors.mxml.MXMLEditor",1316587748859
activated,view,com.adobe.flexbuilder.as.editor,4.5.1.313231,"com.adobe.flexbuilder.packageexplorer",1316587749843
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316587751578
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316587752640
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316587753000
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316587753265
closed,editor,com.adobe.flexbuilder.mxml.editor,4.5.1.313231,"com.adobe.flexbuilder.editors.mxml.MXMLEditor",1316587753281
